Category,Subcategory,Supplier,Brand,Region,Year,Month,Units Month, Values Month ,Units YTD, Values YTD ,Units MAT, Values MAT 
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,7,10900," $59,170 ",76280," $414,180 ",76280," $414,180 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,8,9390," $50,990 ",85670," $465,170 ",85670," $465,170 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,9,8860," $48,130 ",94530," $513,300 ",94530," $513,300 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,10,10170," $55,200 ",104700," $568,500 ",104700," $568,500 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,11,9260," $50,290 ",113960," $618,790 ",113960," $618,790 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,12,10310," $55,960 ",124270," $674,750 ",124270," $674,750 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,1,10290," $61,640 ",10290," $61,640 ",123650," $677,140 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,2,8720," $52,260 ",19010," $113,900 ",122720," $677,020 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,3,8750," $52,360 ",27760," $166,260 ",120120," $667,720 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,4,8970," $53,680 ",36730," $219,940 ",118220," $662,390 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,5,10090," $60,430 ",46820," $280,370 ",116320," $657,740 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,6,9160," $54,870 ",55980," $335,240 ",114870," $654,980 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,7,8920," $53,460 ",64900," $388,700 ",112890," $649,270 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,8,7950," $47,590 ",72850," $436,290 ",111450," $645,870 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,9,9130," $54,650 ",81980," $490,940 ",111720," $652,390 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,10,9090," $54,500 ",91070," $545,440 ",110640," $651,690 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,11,8320," $49,830 ",99390," $595,270 ",109700," $651,230 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,12,7170," $42,940 ",106560," $638,210 ",106560," $638,210 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,1,9510," $56,950 ",9510," $56,950 ",105780," $633,520 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,2,8580," $51,400 ",18090," $108,350 ",105640," $632,660 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,3,9210," $55,150 ",27300," $163,500 ",106100," $635,450 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,4,9710," $58,170 ",37010," $221,670 ",106840," $639,940 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,5,8700," $52,090 ",45710," $273,760 ",105450," $631,600 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,6,8440," $50,620 ",54150," $324,380 ",104730," $627,350 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,7,9010," $53,980 ",63160," $378,360 ",104820," $627,870 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,8,6450," $38,660 ",69610," $417,020 ",103320," $618,940 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,9,8040," $48,140 ",77650," $465,160 ",102230," $612,430 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,10,8820," $52,820 ",86470," $517,980 ",101960," $610,750 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,11,8270," $49,540 ",94740," $567,520 ",101910," $610,460 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,12,8360," $50,090 ",103100," $617,610 ",103100," $617,610 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,1,8490," $50,870 ",8490," $50,870 ",102080," $611,530 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,2,7360," $44,080 ",15850," $94,950 ",100860," $604,210 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,3,7460," $44,660 ",23310," $139,610 ",99110," $593,720 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,4,8910," $53,390 ",32220," $193,000 ",98310," $588,940 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,5,7490," $44,890 ",39710," $237,890 ",97100," $581,740 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,6,7520," $45,060 ",47230," $282,950 ",96180," $576,180 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,7,8200," $49,100 ",55430," $332,050 ",95370," $571,300 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,8,7780," $46,650 ",63210," $378,700 ",96700," $579,290 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,9,7490," $44,860 ",70700," $423,560 ",96150," $576,010 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,10,7990," $47,890 ",78690," $471,450 ",95320," $571,080 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,11,6780," $40,610 ",85470," $512,060 ",93830," $562,150 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,12,8170," $48,930 ",93640," $560,990 ",93640," $560,990 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,1,7000," $41,950 ",7000," $41,950 ",92150," $552,070 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,2,7460," $44,680 ",14460," $86,630 ",92250," $552,670 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,3,8030," $48,110 ",22490," $134,740 ",92820," $556,120 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,4,6830," $40,960 ",29320," $175,700 ",90740," $543,690 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,5,7390," $44,290 ",36710," $219,990 ",90640," $543,090 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,6,7610," $45,560 ",44320," $265,550 ",90730," $543,590 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,7,7030," $42,120 ",51350," $307,670 ",89560," $536,610 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,8,5880," $35,260 ",57230," $342,930 ",87660," $525,220 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,9,4800," $28,730 ",62030," $371,660 ",84970," $509,090 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,10,3350," $20,450 ",65380," $392,110 ",80330," $481,650 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,11,2210," $15,180 ",67590," $407,290 ",75760," $456,220 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,12,1750," $12,010 ",69340," $419,300 ",69340," $419,300 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2023,1,4310," $29,820 ",4310," $29,820 ",66650," $407,170 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2023,2,5570," $38,540 ",9880," $68,360 ",64760," $401,030 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2023,3,5790," $40,100 ",15670," $108,460 ",62520," $393,020 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,1,6920," $37,540 ",6920," $37,540 ",6920," $37,540 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,2,6790," $36,850 ",13710," $74,390 ",13710," $74,390 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,3,8100," $43,940 ",21810," $118,330 ",21810," $118,330 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,4,5200," $28,230 ",27010," $146,560 ",27010," $146,560 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,5,6630," $35,970 ",33640," $182,530 ",33640," $182,530 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,6,7450," $40,430 ",41090," $222,960 ",41090," $222,960 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,7,4090," $22,180 ",45180," $245,140 ",45180," $245,140 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,8,3820," $20,770 ",49000," $265,910 ",49000," $265,910 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,9,6120," $33,200 ",55120," $299,110 ",55120," $299,110 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,10,6160," $33,480 ",61280," $332,590 ",61280," $332,590 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,11,7020," $38,120 ",68300," $370,710 ",68300," $370,710 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,12,5440," $29,540 ",73740," $400,250 ",73740," $400,250 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,1,6830," $40,910 ",6830," $40,910 ",73650," $403,620 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,2,5020," $30,010 ",11850," $70,920 ",71880," $396,780 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,3,5120," $30,660 ",16970," $101,580 ",68900," $383,500 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,4,5270," $31,590 ",22240," $133,170 ",68970," $386,860 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,5,5360," $32,130 ",27600," $165,300 ",67700," $383,020 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,6,5720," $34,290 ",33320," $199,590 ",65970," $376,880 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,7,4120," $24,670 ",37440," $224,260 ",66000," $379,370 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,8,3380," $20,270 ",40820," $244,530 ",65560," $378,870 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,9,4530," $27,140 ",45350," $271,670 ",63970," $372,810 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,10,4960," $29,710 ",50310," $301,380 ",62770," $369,040 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,11,4890," $29,260 ",55200," $330,640 ",60640," $360,180 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,12,4510," $26,970 ",59710," $357,610 ",59710," $357,610 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,1,4140," $24,800 ",4140," $24,800 ",57020," $341,500 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,2,3940," $23,570 ",8080," $48,370 ",55940," $335,060 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,3,3980," $23,840 ",12060," $72,210 ",54800," $328,240 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,4,3860," $23,100 ",15920," $95,310 ",53390," $319,750 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,5,4380," $26,240 ",20300," $121,550 ",52410," $313,860 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,6,5120," $30,700 ",25420," $152,250 ",51810," $310,270 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,7,3450," $20,690 ",28870," $172,940 ",51140," $306,290 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,8,3260," $19,520 ",32130," $192,460 ",51020," $305,540 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,9,4600," $27,540 ",36730," $220,000 ",51090," $305,940 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,10,4330," $25,960 ",41060," $245,960 ",50460," $302,190 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,11,3350," $20,030 ",44410," $265,990 ",48920," $292,960 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,12,3390," $20,340 ",47800," $286,330 ",47800," $286,330 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,1,3520," $21,090 ",3520," $21,090 ",47180," $282,620 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,2,3850," $23,050 ",7370," $44,140 ",47090," $282,100 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,3,4110," $24,640 ",11480," $68,780 ",47220," $282,900 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,4,4030," $24,120 ",15510," $92,900 ",47390," $283,920 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,5,3210," $19,190 ",18720," $112,090 ",46220," $276,870 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,6,5170," $30,920 ",23890," $143,010 ",46270," $277,090 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,7,3340," $19,990 ",27230," $163,000 ",46160," $276,390 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,8,3310," $19,870 ",30540," $182,870 ",46210," $276,740 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,9,3510," $21,050 ",34050," $203,920 ",45120," $270,250 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,10,3640," $21,810 ",37690," $225,730 ",44430," $266,100 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,11,3350," $20,050 ",41040," $245,780 ",44430," $266,120 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,12,3920," $23,470 ",44960," $269,250 ",44960," $269,250 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,1,4310," $25,810 ",4310," $25,810 ",45750," $273,970 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,2,3700," $22,150 ",8010," $47,960 ",45600," $273,070 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,3,4120," $24,710 ",12130," $72,670 ",45610," $273,140 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,4,4150," $24,870 ",16280," $97,540 ",45730," $273,890 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,5,3730," $22,370 ",20010," $119,910 ",46250," $277,070 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,6,4450," $26,640 ",24460," $146,550 ",45530," $272,790 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,7,3200," $19,170 ",27660," $165,720 ",45390," $271,970 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,8,3010," $18,060 ",30670," $183,780 ",45090," $270,160 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,9,2560," $15,340 ",33230," $199,120 ",44140," $264,450 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,10,1990," $12,140 ",35220," $211,260 ",42490," $254,780 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,11,1740," $11,900 ",36960," $223,160 ",40880," $246,630 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,12,830," $5,720 ",37790," $228,880 ",37790," $228,880 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2023,1,2150," $14,950 ",2150," $14,950 ",35630," $218,020 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2023,2,2100," $14,480 ",4250," $29,430 ",34030," $210,350 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2023,3,2500," $17,330 ",6750," $46,760 ",32410," $202,970 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,1,24570," $152,340 ",24570," $152,340 ",24570," $152,340 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,2,17270," $107,120 ",41840," $259,460 ",41840," $259,460 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,3,23310," $144,530 ",65150," $403,990 ",65150," $403,990 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,4,12430," $77,110 ",77580," $481,100 ",77580," $481,100 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,5,22130," $137,220 ",99710," $618,320 ",99710," $618,320 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,6,22950," $142,250 ",122660," $760,570 ",122660," $760,570 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,7,23980," $148,670 ",146640," $909,240 ",146640," $909,240 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,8,21100," $130,810 ",167740," $1,040,050 ",167740," $1,040,050 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,9,22790," $141,310 ",190530," $1,181,360 ",190530," $1,181,360 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,10,24020," $148,920 ",214550," $1,330,280 ",214550," $1,330,280 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,11,20000," $123,960 ",234550," $1,454,240 ",234550," $1,454,240 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,12,22520," $152,320 ",257070," $1,606,560 ",257070," $1,606,560 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,1,19950," $145,690 ",19950," $145,690 ",252450," $1,599,910 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,2,17990," $131,370 ",37940," $277,060 ",253170," $1,624,160 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,3,20400," $148,970 ",58340," $426,030 ",250260," $1,628,600 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,4,20120," $146,900 ",78460," $572,930 ",257950," $1,698,390 "
